Feature,Importance
MagpieData maximum Electronegativity,0.2376074
MagpieData mode CovalentRadius,0.18933311
MagpieData range NfUnfilled,0.024997298
MagpieData maximum NUnfilled,0.018725308
MagpieData maximum MendeleevNumber,0.018545318
MagpieData maximum NfUnfilled,0.016711341
MagpieData maximum NpValence,0.016210567
MagpieData minimum GSbandgap,0.016188025
MagpieData minimum Column,0.011070281
MagpieData maximum NValence,0.010820587
