Feature,Importance
MagpieData mean MeltingT,517
MagpieData avg_dev MeltingT,501
MagpieData avg_dev GSvolume_pa,485
MagpieData avg_dev Electronegativity,481
MagpieData mean NUnfilled,457
MagpieData avg_dev NUnfilled,445
MagpieData avg_dev SpaceGroupNumber,435
MagpieData avg_dev NValence,420
MagpieData mean Electronegativity,402
MagpieData avg_dev CovalentRadius,396
