Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Engineered XGBoost,Train,dft,dft,0.9951699777758599,0.05986430117903985,0.04246827309311736
Engineered XGBoost,Test,dft,dft,0.7155007074686781,0.45620583169925044,0.3281887539005987
