Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Direct Mix XGBoost,Train,mix,mix,0.7826102112240989,0.3955879645448295,0.19896960939627759
Direct Mix XGBoost,Test,mix,dft,0.6719134427436733,0.48990791426444985,0.35511433859445385
Direct Mix XGBoost,Test,mix,exp,0.12833006547832915,0.7387875329904083,0.590791711852959
Direct Mix XGBoost,Test,mix,mix,0.43921677202048537,0.6117071279553264,0.46133210581729106
