Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Stacking XGBoost,Train,meta,meta,0.9897273742688141,0.08150430396578386,0.046142880871493666
Stacking XGBoost,Test,meta,dft,0.20384985895423624,0.7631637359985188,0.6081361211970205
Stacking XGBoost,Test,meta,exp,0.6482892325782554,0.4692846585964366,0.34004145654496887
Stacking XGBoost,Test,meta,mix,0.4308303814356995,0.6162641271371863,0.4643866473867626
