Model,Error_Type,Train_set,Test_set,R²,RMSE,MAE
Self Learning XGBoost,Train,mix,mix,0.981587047452041,0.10686556915694165,0.07968673658305078
Self Learning XGBoost,Test,mix,dft,0.24416756449438248,0.7559480127130194,0.5275797493183305
Self Learning XGBoost,Test,mix,exp,0.714212840003889,0.43148842837498785,0.31290288109313663
Self Learning XGBoost,Test,mix,mix,0.5085991752458001,0.5892415975950449,0.4079989249807716
