Feature,Importance
MagpieData mode CovalentRadius,0.35994548
MagpieData maximum Electronegativity,0.08125049
MagpieData minimum NpUnfilled,0.05936952
MagpieData maximum NfUnfilled,0.02032284
MagpieData range Column,0.016280979
MagpieData mode Number,0.01368618
efermi,0.012230865
MagpieData maximum NUnfilled,0.011710388
MagpieData maximum MendeleevNumber,0.010411693
MagpieData avg_dev NfUnfilled,0.010349624
